J1, J2, J3, J4, J5, J6, ERROR, STEP_MM, STEP_DEG, MOVE_ID, TIME_S, X_TCP, Y_TCP, Z_TCP, SPEED_J1, SPEED_J2, SPEED_J3, SPEED_J4, SPEED_J5, SPEED_J6, ACCEL_J1, ACCEL_J2, ACCEL_J3, ACCEL_J4, ACCEL_J5, ACCEL_J6
6.5065694, 70.4029043, 50.6360713, 43.7509539, -59.3496209, -31.6393071, 0.0000000, 0.0000000, 0.0000000, 1.0000000, 0.0000000, 1401.7949192, 100.0000000, 1025.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000, 0.0000000
5.1126485, 77.8485483, 52.6605455, 44.0997196, -42.9721249, -32.1190653, 0.0000000, 59.8088852, 16.3774960, 2.0000000, 0.5139444, 1406.5858279, 78.2218201, 969.5035062, -2.7122020, 14.4872569, 3.9390921, 0.6786058, 31.8662825, -0.9334827, -5.2772290, 28.1883764, 7.6644330, 1.3203877, 62.0033708, -1.8163108
0.9345839, 83.0704531, 54.1505874, 9.9303731, -26.1106623, -11.9140360, 0.0000000, 75.6124823, 34.1693465, 3.0000000, 0.7593188, 1403.9749383, 15.3123616, 927.6366844, -5.5023852, 6.8770913, 1.9623404, -45.0000000, 22.2060382, 26.6094149, -3.6745872, -10.0223589, -2.6033224, -60.1573478, -12.7222507, 36.2731664
-3.6477284, 81.3139247, 53.5927095, -36.4721898, -33.7338918, 16.7819914, 0.0000000, 73.0424621, 46.4025628, 4.0000000, 1.0311681, 1405.1962859, -56.5046866, 940.9039809, -4.4438074, -1.7034356, -0.5410156, -45.0000000, -7.3928099, 27.8286619, 1.0265812, -8.3211721, -2.4276896, 0.0000000, -28.7041940, 1.1823941
-5.9127173, 74.3729882, 51.7967545, -44.3828895, -51.1988321, 20.6109090, 0.0000000, 65.0221825, 17.4649403, 5.0000000, 0.3881098, 1405.4440501, -90.7523625, 996.1753074, -5.8359489, -17.8839514, -4.6274407, -20.3826341, -45.0000000, 9.8655529, -3.5869786, -41.6905639, -10.5290442, 63.4288723, -96.8983302, -46.2835767
-5.6044328, 63.7120994, 47.5722000, -35.2464482, -65.5412892, 17.7422147, 0.0000000, 70.3853038, 14.3424571, 6.0000000, 0.3187213, 1408.9794506, -85.4787880, 1066.2736764, 0.9672542, -33.4489406, -13.2546989, 28.6659291, -45.0000000, -9.0006365, 21.3453064, -48.8357408, -27.0683482, 153.8917171, 0.0000000, -59.1933809
-2.0218482, 43.0309935, 33.0753757, -12.0455521, -61.8690668, 4.6063925, 0.0000000, 80.6455044, 23.2008961, 7.0000000, 0.5155755, 1414.2147818, -31.5102093, 1125.9702526, 6.9487103, -40.1126646, -28.1177543, 45.0000000, 7.1225700, -25.4779815, 11.6015143, -12.9248276, -28.8280887, 31.6812413, 101.0959076, -31.9591330
2.6603974, 51.4258686, 40.4332102, 14.9331656, -69.1971233, -17.4405682, 0.0000000, 73.3828712, 26.9787177, 8.0000000, 0.5995271, 1410.1504517, 41.4089278, 1118.8060039, 7.8098988, 14.0024958, 12.2727313, 45.0000000, -12.2230622, -36.7739208, 1.4364464, 90.2630823, 67.3705798, 0.0000000, -32.2681552, -18.8414169
5.6037997, 63.2725646, 47.4871001, 34.6361273, -66.4370707, -28.3358401, 0.0000000, 66.6604335, 19.7029616, 9.0000000, 0.4378436, 1407.1354576, 85.7175340, 1069.0941278, 6.7224970, 27.0569129, 16.1105244, 45.0000000, 6.3037411, -24.8839360, -2.4835393, 29.8152523, 8.7652147, 0.0000000, 42.3137477, 27.1557812
5.7808890, 74.9238281, 51.8147774, 45.0643465, -49.6527529, -32.3889092, 0.0000000, 77.3389704, 16.7843178, 10.0000000, 0.3729848, 1407.1678657, 88.2333792, 991.7960953, 0.4747895, 31.2379011, 11.6028237, 27.9588287, 45.0000000, -10.8665788, -16.7505671, 11.2095392, -12.0854797, -45.6886433, 103.7475383, 37.5815736
2.6749511, 81.9670368, 53.8284263, 27.9251603, -30.3382474, -23.3002816, 0.0000000, 72.1219877, 19.3145055, 11.0000000, 0.4292112, 1405.2742283, 41.9746122, 936.4958084, -7.2363853, 16.4096559, 4.6915103, -39.9318212, 45.0000000, 21.1751858, -17.9659201, -34.5476634, -16.1023592, -158.1753798, 0.0000000, 74.6526700
